Water(ml),Date,Time,month,day
500,2024-02-29,21:39:00,February,29
500,2024-02-29,14:16:00,February,29
500,2024-02-29,09:40:00,February,29
400,2024-02-28,23:24:00,February,28
600,2024-02-28,18:42:00,February,28
400,2024-02-28,17:59:00,February,28
500,2024-02-28,15:11:00,February,28
600,2024-02-28,08:53:00,February,28
600,2024-02-28,07:31:00,February,28
500,2024-02-28,07:19:00,February,28
150,2024-02-28,05:42:00,February,28
500,2024-02-28,03:44:00,February,28
100,2024-02-28,01:59:00,February,28
100,2024-02-28,00:46:00,February,28
600,2024-02-26,17:57:00,February,26
500,2024-02-25,16:19:00,February,25
100,2024-02-23,21:29:00,February,23
650,2024-02-23,20:34:00,February,23
100,2024-02-23,17:07:00,February,23
650,2024-02-23,15:18:00,February,23
650,2024-02-23,10:32:00,February,23
250,2024-02-23,06:55:00,February,23
500,2024-02-23,03:10:00,February,23
650,2024-02-23,01:22:00,February,23
100,2024-02-23,00:14:00,February,23
600,2024-02-20,22:52:00,February,20
600,2024-02-20,07:09:00,February,20
100,2024-02-20,03:16:00,February,20
750,2024-02-19,19:03:00,February,19
750,2024-02-19,16:30:00,February,19
750,2024-02-19,15:38:00,February,19
750,2024-02-19,15:13:00,February,19
750,2024-02-19,13:49:00,February,19
750,2024-02-19,11:53:00,February,19
750,2024-02-19,11:25:00,February,19
750,2024-02-19,02:57:00,February,19
750,2024-02-19,00:02:00,February,19
600,2024-02-15,22:55:00,February,15
600,2024-02-15,16:55:00,February,15
600,2024-02-15,07:29:00,February,15
600,2024-02-13,23:07:00,February,13
750,2024-02-13,21:09:00,February,13
600,2024-02-12,18:24:00,February,12
750,2024-02-12,17:38:00,February,12
750,2024-02-12,16:09:00,February,12
750,2024-02-12,09:33:00,February,12
750,2024-02-12,00:30:00,February,12
100,2024-02-11,06:25:00,February,11
600,2024-02-11,04:02:00,February,11
300,2024-02-10,11:21:00,February,10
750,2024-02-10,11:19:00,February,10
300,2024-02-10,08:21:00,February,10
750,2024-02-08,23:42:00,February,8
600,2024-02-08,20:27:00,February,8
750,2024-02-08,17:21:00,February,8
600,2024-02-08,15:52:00,February,8
600,2024-02-08,03:04:00,February,8
100,2024-02-07,15:34:00,February,7
650,2024-02-07,13:13:00,February,7
750,2024-02-06,20:36:00,February,6
600,2024-02-06,14:41:00,February,6
750,2024-02-06,09:53:00,February,6
600,2024-02-05,21:52:00,February,5
750,2024-02-05,21:27:00,February,5
600,2024-02-05,20:41:00,February,5
150,2024-02-05,19:21:00,February,5
60,2024-02-05,16:57:00,February,5
540,2024-02-05,16:25:00,February,5
750,2024-02-05,11:00:00,February,5
600,2024-02-05,09:28:00,February,5
100,2024-02-05,07:06:00,February,5
600,2024-02-05,05:36:00,February,5
750,2024-02-05,05:15:00,February,5
600,2024-02-05,01:21:00,February,5
200,2024-02-02,22:54:00,February,2
750,2024-02-02,22:21:00,February,2
500,2024-02-02,17:22:00,February,2
750,2024-02-02,14:58:00,February,2
600,2024-02-02,13:41:00,February,2
600,2024-02-02,13:21:00,February,2
600,2024-02-02,11:57:00,February,2
600,2024-02-02,07:06:00,February,2
700,2024-02-01,20:47:00,February,1
100,2024-02-01,20:34:00,February,1
400,2024-02-01,14:03:00,February,1
